latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.33472,-118.52109,298.29,0.52,0.42,01-01-2020,1002,N20,VIIRS,n,2,264.37,0.57,N,2
33.77607,-118.22866,299.05,0.55,0.43,01-01-2020,1002,N20,VIIRS,n,2,281.81,1.03,N,2
34.15387,-118.19527,306.91,0.55,0.42,01-01-2020,1002,N20,VIIRS,n,2,276.42,0.81,N,2
34.03726,-118.10534,295.22,0.55,0.43,01-01-2020,1002,N20,VIIRS,n,2,278.37,0.51,N,2
33.85507,-118.33278,297.68,0.54,0.42,01-01-2020,1002,N20,VIIRS,n,2,284.81,1.82,N,2
33.71768,-117.71074,299.67,0.39,0.44,01-01-2020,1002,N20,VIIRS,n,2,280.61,0.72,N,2
33.82081,-118.2448,298.07,0.55,0.43,01-01-2020,1002,N20,VIIRS,n,2,284.09,2.07,N,2
34.43011,-118.64354,296.73,0.52,0.41,01-01-2020,1002,N20,VIIRS,n,2,275.66,0.85,N,2
34.33633,-118.5214,315.1,0.38,0.36,02-01-2020,944,N20,VIIRS,n,2,281.36,0.76,N,2
34.43131,-118.64649,301.99,0.38,0.36,02-01-2020,944,N20,VIIRS,n,2,283.2,0.43,N,2
33.77887,-118.23828,302.46,0.39,0.36,02-01-2020,944,N20,VIIRS,n,2,287.22,1.28,N,2
33.71493,-117.70953,299.13,0.39,0.36,02-01-2020,944,N20,VIIRS,n,2,280.07,0.51,N,2
34.03672,-118.10356,295.61,0.39,0.36,02-01-2020,944,N20,VIIRS,n,2,280.11,0.32,N,2
34.32124,-118.51203,298.68,0.38,0.36,02-01-2020,944,N20,VIIRS,n,2,281.69,0.49,N,2
34.1538,-118.19389,304.62,0.39,0.36,02-01-2020,944,N20,VIIRS,n,2,279.91,0.89,N,2
34.24226,-118.3803,298.75,0.39,0.36,02-01-2020,944,N20,VIIRS,n,2,278.64,0.55,N,2
34.11672,-117.92635,295.15,0.39,0.36,02-01-2020,944,N20,VIIRS,n,2,279.35,0.23,N,2
34.33673,-118.52086,299.51,0.49,0.4,03-01-2020,925,N20,VIIRS,n,2,273.19,0.88,N,2
34.32621,-118.52773,295.78,0.49,0.4,03-01-2020,925,N20,VIIRS,n,2,271.47,0.48,N,2
34.33464,-118.52079,303.52,0.49,0.4,03-01-2020,925,N20,VIIRS,n,2,272.24,1.22,N,2
33.77606,-118.23189,297.78,0.47,0.4,03-01-2020,925,N20,VIIRS,n,2,279.86,1.15,N,2
33.82222,-118.24438,295.11,0.47,0.4,03-01-2020,925,N20,VIIRS,n,2,278.18,0.86,N,2
33.85558,-118.33262,296.97,0.48,0.4,03-01-2020,925,N20,VIIRS,n,2,281.65,0.81,N,2
34.15334,-118.19448,299.67,0.56,0.51,04-01-2020,906,N20,VIIRS,n,2,282.62,1.09,N,2
34.3341,-118.52242,295.95,0.59,0.53,04-01-2020,906,N20,VIIRS,n,2,277.51,0.83,N,2
34.33562,-118.52203,299.53,0.59,0.53,04-01-2020,906,N20,VIIRS,n,2,278.07,0.57,N,2
33.78086,-118.2407,295.97,0.56,0.51,04-01-2020,906,N20,VIIRS,n,2,284.54,1.96,N,2
33.85597,-118.33582,296.86,0.57,0.52,04-01-2020,906,N20,VIIRS,n,2,285.08,1.43,N,2
33.77988,-118.22861,297.78,0.56,0.51,04-01-2020,906,N20,VIIRS,n,2,282.26,1.2,N,2
33.7788,-118.22993,298.63,0.56,0.51,04-01-2020,906,N20,VIIRS,n,2,283.03,1.73,N,2
33.71806,-117.71027,297.33,0.52,0.5,04-01-2020,906,N20,VIIRS,n,2,281.8,0.46,N,2
33.85426,-118.33442,299.34,0.73,0.76,04-01-2020,1046,N20,VIIRS,n,2,285.41,1.55,N,2
33.85431,-118.33582,296.27,0.73,0.76,04-01-2020,1046,N20,VIIRS,n,2,283.72,1.13,N,2
33.7779,-118.23279,296.18,0.74,0.76,04-01-2020,1046,N20,VIIRS,n,2,282.37,1.51,N,2
33.81849,-118.24613,296.56,0.41,0.6,05-01-2020,1027,N20,VIIRS,n,2,283.05,0.81,N,2
33.85329,-118.33428,299.84,0.4,0.6,05-01-2020,1027,N20,VIIRS,n,2,281.5,1.11,N,2
33.77816,-118.228,300.02,0.41,0.61,05-01-2020,1028,N20,VIIRS,n,2,283.01,0.68,N,2
33.81779,-118.24566,295.21,0.41,0.6,05-01-2020,1028,N20,VIIRS,n,2,283.02,0.98,N,2
33.78036,-118.23647,295.33,0.41,0.6,05-01-2020,1028,N20,VIIRS,n,2,284.64,1,N,2
34.33544,-118.51879,323.63,0.42,0.45,06-01-2020,1009,N20,VIIRS,n,2,280.72,1.61,N,2
34.43015,-118.64491,300.99,0.41,0.45,06-01-2020,1009,N20,VIIRS,n,2,281.08,0.87,N,2
34.4312,-118.64613,303.11,0.41,0.45,06-01-2020,1009,N20,VIIRS,n,2,281.22,0.89,N,2
34.32133,-118.51345,297.74,0.42,0.45,06-01-2020,1009,N20,VIIRS,n,2,280.58,0.64,N,2
34.29367,-118.80162,298.2,0.41,0.45,06-01-2020,1009,N20,VIIRS,n,2,283.74,0.47,N,2
34.15465,-118.19537,300.43,0.44,0.46,06-01-2020,1009,N20,VIIRS,n,2,279.55,0.92,N,2
33.90768,-118.40421,298.09,0.43,0.46,06-01-2020,1009,N20,VIIRS,n,2,285.13,1.02,N,2
33.85279,-118.33321,303.5,0.44,0.46,06-01-2020,1009,N20,VIIRS,n,2,287.33,1.87,N,2
33.71628,-117.71328,298.6,0.48,0.48,06-01-2020,1009,N20,VIIRS,n,2,286.33,0.46,N,2
33.82016,-118.24444,299.72,0.44,0.46,06-01-2020,1009,N20,VIIRS,n,2,285.14,1.22,N,2
33.80669,-118.24369,295.82,0.44,0.46,06-01-2020,1009,N20,VIIRS,n,2,283.97,1.21,N,2
33.79587,-118.23384,295.7,0.44,0.46,06-01-2020,1009,N20,VIIRS,n,2,284.94,1.04,N,0
33.77924,-118.23901,296.96,0.44,0.46,06-01-2020,1009,N20,VIIRS,n,2,285.1,1.09,N,2
33.77722,-118.22964,302.78,0.44,0.46,06-01-2020,1009,N20,VIIRS,n,2,282.56,1.07,N,2
34.33392,-118.51878,326.53,0.4,0.37,07-01-2020,950,N20,VIIRS,n,2,280.7,1.86,N,2
34.24231,-118.38123,299.92,0.41,0.37,07-01-2020,950,N20,VIIRS,n,2,277.12,0.66,N,2
34.29029,-118.8007,301.78,0.4,0.37,07-01-2020,950,N20,VIIRS,n,2,284.67,0.71,N,2
34.15322,-118.19389,311.38,0.41,0.37,07-01-2020,950,N20,VIIRS,n,2,280.83,0.86,N,2
34.03508,-118.10583,304.19,0.42,0.37,07-01-2020,950,N20,VIIRS,n,2,280.57,0.64,N,2
33.9073,-118.40435,301.06,0.41,0.37,07-01-2020,950,N20,VIIRS,n,2,286.79,0.99,N,2
33.85568,-118.33064,295.34,0.41,0.37,07-01-2020,950,N20,VIIRS,n,2,284.65,0.49,N,2
33.85308,-118.33587,296.08,0.41,0.37,07-01-2020,950,N20,VIIRS,n,2,285.9,0.71,N,2
33.77753,-118.22948,306.7,0.41,0.37,07-01-2020,950,N20,VIIRS,n,2,283.79,1.01,N,2
34.4303,-118.64418,306.76,0.4,0.37,07-01-2020,950,N20,VIIRS,n,2,279.05,1.2,N,2
34.32239,-118.5126,297.72,0.4,0.37,07-01-2020,950,N20,VIIRS,n,2,280.56,0.74,N,2
33.85231,-118.3315,301.59,0.41,0.37,07-01-2020,950,N20,VIIRS,n,2,287.76,1.14,N,2
33.8191,-118.24361,299.57,0.41,0.37,07-01-2020,950,N20,VIIRS,n,2,285.65,1.26,N,2
33.71546,-117.70923,302.05,0.43,0.38,07-01-2020,950,N20,VIIRS,n,2,286.11,0.97,N,2
33.77908,-118.23829,299.26,0.41,0.37,07-01-2020,950,N20,VIIRS,n,2,287,1.04,N,2
34.43262,-118.64587,306.23,0.43,0.38,08-01-2020,931,N20,VIIRS,n,2,276.6,0.94,N,2
34.33754,-118.52015,297.14,0.43,0.38,08-01-2020,931,N20,VIIRS,n,2,279.12,0.4,N,2
34.33408,-118.52084,318.35,0.43,0.38,08-01-2020,931,N20,VIIRS,n,2,277.87,1.99,N,2
34.32052,-118.5121,306.5,0.43,0.38,08-01-2020,931,N20,VIIRS,n,2,277.49,0.73,N,2
34.24269,-118.38206,303.89,0.42,0.38,08-01-2020,931,N20,VIIRS,n,2,276.74,0.54,N,2
34.29118,-118.80155,298.05,0.44,0.38,08-01-2020,931,N20,VIIRS,n,2,277.59,0.83,N,2
34.15438,-118.19197,296.25,0.42,0.37,08-01-2020,931,N20,VIIRS,n,2,280.76,0.3,N,2
33.90668,-118.40385,298.7,0.42,0.38,08-01-2020,931,N20,VIIRS,n,2,286.3,1.13,N,2
33.85563,-118.33324,299.26,0.42,0.38,08-01-2020,931,N20,VIIRS,n,2,286.05,1.02,N,2
33.8522,-118.33393,302.66,0.42,0.38,08-01-2020,931,N20,VIIRS,n,2,286.08,1.29,N,2
33.81868,-118.24384,299.44,0.42,0.37,08-01-2020,931,N20,VIIRS,n,2,284.86,0.89,N,2
33.77925,-118.2379,302.74,0.42,0.37,08-01-2020,931,N20,VIIRS,n,2,287.54,1.02,N,2
33.77802,-118.22897,303.31,0.42,0.37,08-01-2020,931,N20,VIIRS,n,2,284.4,0.84,N,2
34.33524,-118.51886,330.56,0.39,0.36,08-01-2020,2050,N20,VIIRS,n,2,294.18,2.79,D,2
34.36275,-118.95904,332.1,0.4,0.37,08-01-2020,2050,N20,VIIRS,n,2,291.51,3.94,D,0
33.82043,-118.24271,295.32,0.45,0.47,09-01-2020,912,N20,VIIRS,n,2,283.73,1.32,N,2
33.85255,-118.33163,295.28,0.46,0.47,09-01-2020,912,N20,VIIRS,n,2,280.55,2.21,N,2
34.33722,-118.5191,307.25,0.48,0.48,09-01-2020,912,N20,VIIRS,n,2,272.67,1.45,N,2
33.85713,-118.33492,298.85,0.43,0.62,10-01-2020,853,N20,VIIRS,n,2,282.52,1.92,N,2
