longitude,latitude,elevation,slope,aspect,vegetation_cover,vegetation_type,fuel_vegetation_cover,fuel_vegetation_height
-118.435025,32.796,0.009375,0.018002,0.03625,11.0,7292.0,11.0,11.0
-118.424213,32.796,0.025625,0.049375,0.0975,11.0375,7295.45375,11.0375,11.0375
-118.435025,32.804983,0.242713,0.411065,0.723974,12.777513,7323.786437,12.157049,13.926829
-118.424213,32.804983,13.82,3.809042,7.09375,77.76625,7414.324375,43.341875,161.94
-118.413401,32.804983,1.5475,0.772754,1.431875,23.3625,7317.524375,16.97375,39.15375
-118.445837,32.813966,0.59375,0.324212,0.594375,18.290625,7316.209375,14.555625,27.35375
-118.435025,32.813966,8.800625,2.811847,5.323125,82.35375,7456.221875,44.52375,165.274375
-118.424213,32.813966,56.85,7.878049,14.68625,195.090625,7370.894375,99.1175,436.874375
-118.413401,32.813966,27.63125,4.800714,8.869375,157.468125,7381.765625,81.561875,346.779375
-118.402589,32.813966,15.077439,3.052945,5.579878,73.062195,7303.170122,40.987805,155.757317
-118.370153,32.813966,0.01,0.029617,0.064375,11.0,7292.0,11.0,11.0
-118.359341,32.813966,1.798125,1.001785,1.859375,28.67,7373.725625,18.410625,41.523125
-118.34853,32.813966,0.62625,0.698989,1.315625,16.001875,7323.680625,13.000625,18.335
-118.456649,32.822949,5.288125,1.853064,3.44875,52.53125,7313.864375,30.905,105.903125
-118.445837,32.822949,36.851829,7.280785,13.391463,168.517683,7384.287195,86.762805,381.082317
-118.435025,32.822949,66.518293,8.675788,15.783537,215.131098,7228.997561,109.592073,495.875
-118.424213,32.822949,106.803125,9.23022,17.43875,208.486875,7268.4075,105.894375,475.52
-118.413401,32.822949,101.6525,9.082689,17.11625,209.4775,7362.575,106.0225,469.735
-118.402589,32.822949,70.125625,8.24263,16.56375,171.39,7273.855,87.976875,385.0625
-118.391777,32.822949,7.150625,2.317668,4.296875,72.991875,7331.938125,41.069375,153.05125
-118.380965,32.822949,16.81625,5.581797,10.7425,71.929375,7373.539375,41.21,151.509375
-118.370153,32.822949,66.813415,11.324212,21.279878,138.112195,7391.803049,73.37378,305.976829
-118.359341,32.822949,48.886875,11.392029,22.806875,145.480625,7457.191875,73.3775,304.925
-118.34853,32.822949,3.339375,2.040452,3.9525,32.835625,7398.8,19.545625,45.90625
-118.467461,32.831932,17.237195,4.266508,7.916463,69.181098,7313.040244,38.370732,144.310366
-118.456649,32.831932,87.980625,12.94646,25.050625,191.213125,7267.445625,96.63375,430.72875
-118.445837,32.831932,182.68625,15.913742,30.765,222.87625,7199.43875,111.22,507.88625
-118.435025,32.831932,187.905,10.045877,19.29375,221.0875,7148.929375,111.743125,509.53125
-118.424213,32.831932,175.810625,8.713861,16.390625,213.65875,7169.669375,108.081875,485.3925
-118.413401,32.831932,194.476875,7.859607,14.69375,219.518125,7179.95625,110.985,504.06875
-118.402589,32.831932,153.646951,13.95122,26.069512,217.378659,7194.581707,109.704268,497.611585
-118.391777,32.831932,107.100625,13.186794,24.9875,220.8975,7203.736875,111.28625,502.39625
-118.380965,32.831932,200.47625,14.275842,28.051875,207.26875,7217.526875,105.475625,468.425625
-118.370153,32.831932,184.43375,17.094657,35.3525,194.18,7210.4075,97.303125,429.615625
